,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
338,18917,Brazil,Netherlands,W,3,1,24,25,31,25,,50,12,6,50,71,98
339,18918,Canada,Japan,W,3,2,25,20,25,20,15,61,12,6,46,82,106
340,18918,Japan,Canada,L,2,3,21,25,15,25,10,57,3,8,53,87,122
341,18919,Bulgaria,Türkiye,W,3,1,27,25,12,25,,49,5,7,58,78,119
342,18919,Türkiye,Bulgaria,L,1,3,25,20,25,22,,43,11,3,64,69,100
343,18920,Slovenia,Argentina,W,3,0,25,25,29,,,49,2,3,53,57,98
344,18920,Argentina,Slovenia,L,0,3,23,22,27,,,40,8,1,33,65,85
345,18921,Germany,France,W,3,1,25,25,25,25,,56,3,6,87,75,135
346,18921,France,Germany,L,1,3,23,27,20,23,,55,7,5,68,86,136
347,18922,Iran,USA,W,3,2,26,25,25,26,15,64,9,5,62,86,130
348,18922,USA,Iran,L,2,3,28,23,18,28,13,65,6,5,69,91,137
349,18923,Cuba,Serbia,L,2,3,25,25,16,21,12,52,10,3,39,86,107
350,18923,Serbia,Cuba,W,3,2,22,21,25,25,15,52,6,9,46,74,101
351,18924,Italy,Poland,L,0,3,22,21,22,,,35,2,1,35,52,67
352,18924,Poland,Italy,W,3,0,25,25,25,,,43,8,2,35,50,73
353,18925,Germany,Canada,L,0,3,19,18,21,,,31,3,3,32,58,73
354,18925,Canada,Germany,W,3,0,25,25,25,,,44,8,4,42,48,69
355,18926,Iran,Netherlands,W,3,2,25,22,25,20,15,69,13,2,49,89,117
356,18926,Netherlands,Iran,L,2,3,22,25,21,25,10,59,6,13,46,94,116
357,18927,Brazil,USA,L,2,3,21,25,21,25,,64,5,7,65,87,131
358,18927,USA,Brazil,W,3,2,25,18,25,22,5,56,8,8,53,84,114
359,18928,Türkiye,Argentina,L,0,3,17,18,20,,,29,7,2,38,62,91
360,18928,Argentina,Türkiye,W,3,0,25,25,25,,,39,9,5,46,46,87
361,18929,Bulgaria,Italy,L,0,3,25,20,21,,,34,5,2,32,60,71
362,18929,Italy,Bulgaria,W,3,0,27,25,25,,,37,5,5,35,46,67
363,18930,Cuba,Slovenia,L,2,3,22,25,21,31,,59,13,5,47,94,116
364,18930,Slovenia,Cuba,W,3,2,25,20,25,29,5,61,9,8,54,82,115
365,18931,Iran,France,L,0,3,21,17,20,,,34,5,2,34,61,82
366,18931,France,Iran,W,3,0,25,25,25,,,41,6,4,39,51,79
367,18932,Canada,Brazil,W,3,0,26,25,26,,,46,5,6,34,58,86
368,18932,Brazil,Canada,L,0,3,24,19,24,,,37,1,4,41,56,79
369,18933,Netherlands,Japan,L,0,3,18,19,20,,,32,4,6,30,62,82
370,18933,Japan,Netherlands,W,3,0,25,25,25,,,40,7,6,39,44,72
371,18934,Argentina,Poland,L,0,3,19,18,22,,,36,4,5,33,62,76
372,18934,Poland,Argentina,W,3,0,25,25,25,,,41,6,3,39,47,68
373,18935,Bulgaria,Cuba,L,0,3,18,20,18,,,33,4,3,35,61,69
374,18935,Cuba,Bulgaria,W,3,0,25,25,25,,,50,3,1,37,42,71
375,18936,Türkiye,Serbia,L,1,3,25,19,23,21,,50,4,6,41,75,90
376,18936,Serbia,Türkiye,W,3,1,20,25,25,25,,60,8,11,39,78,97
377,18937,Germany,USA,L,1,3,23,25,24,23,,52,5,8,64,79,119
378,18937,USA,Germany,W,3,1,25,21,26,25,,54,10,5,61,78,120
379,18938,Canada,Netherlands,W,3,2,21,25,28,14,15,55,11,7,65,84,125
380,18938,Netherlands,Canada,L,2,3,25,22,26,25,9,57,14,9,58,86,132
381,18939,France,Japan,L,2,3,25,25,16,23,10,58,12,2,58,86,117
382,18939,Japan,France,W,3,2,17,19,25,25,15,62,5,5,62,82,136
383,18940,Bulgaria,Argentina,L,0,3,22,17,20,,,31,7,3,30,60,68
384,18940,Argentina,Bulgaria,W,3,0,25,25,25,,,39,12,7,34,46,66
385,18941,Serbia,Poland,L,2,3,21,25,18,25,11,53,7,2,53,82,106
386,18941,Poland,Serbia,W,3,2,25,21,25,22,15,63,9,10,43,82,113
387,18942,Slovenia,Italy,W,3,0,25,25,25,,,32,7,8,30,41,62
388,18942,Italy,Slovenia,L,0,3,19,21,19,,,31,4,1,25,59,67
389,18943,Germany,Iran,W,3,0,25,25,25,,,37,5,4,42,52,84
390,18943,Iran,Germany,L,0,3,20,23,20,,,39,8,0,41,63,90
391,18944,France,Brazil,W,3,2,25,27,13,25,18,60,7,9,49,97,129
392,18944,Brazil,France,L,2,3,23,29,25,19,16,51,17,3,55,81,116
393,18945,Japan,USA,W,3,0,25,25,25,,,41,3,12,56,56,95
394,18945,USA,Japan,L,0,3,20,23,19,,,31,10,3,50,59,84
395,18946,Cuba,Poland,L,0,3,17,20,20,,,31,3,4,28,54,70
396,18946,Poland,Cuba,W,3,0,25,25,25,,,41,8,3,32,42,66
397,18947,Türkiye,Italy,L,1,3,21,26,19,21,,49,6,9,52,82,101
398,18947,Italy,Türkiye,W,3,1,25,24,25,25,,61,7,10,56,76,110
399,18948,Serbia,Slovenia,L,2,3,13,27,14,25,12,58,8,3,46,96,106
400,18948,Slovenia,Serbia,W,3,2,25,25,25,22,15,55,10,16,52,69,101
401,18949,Japan,Canada,W,3,0,26,25,26,,,42,7,7,47,55,84
402,18949,Canada,Japan,L,0,3,24,18,24,,,39,8,5,41,66,87
403,18950,Poland,Brazil,W,3,1,18,25,25,25,,50,8,7,50,70,97
404,18950,Brazil,Poland,L,1,3,25,23,22,16,,48,8,7,46,73,92
405,18951,Italy,France,L,2,3,25,20,25,22,11,69,5,3,71,89,132
406,18951,France,Italy,W,3,2,19,25,22,25,15,64,13,4,72,84,131
407,18952,Slovenia,Argentina,W,3,2,19,25,17,29,15,66,8,4,66,84,128
408,18952,Argentina,Slovenia,L,2,3,25,17,25,27,7,58,13,6,56,90,121
409,18953,Poland,France,L,2,3,25,22,23,25,16,52,14,3,58,79,106
410,18953,France,Poland,W,3,2,22,25,25,20,18,66,10,5,55,86,123
411,18954,Slovenia,Japan,L,0,3,21,25,29,,,43,7,6,47,69,95
412,18954,Japan,Slovenia,W,3,0,25,27,31,,,48,4,6,56,60,95
413,18955,Slovenia,Poland,L,0,3,24,16,17,,,34,4,4,42,64,85
414,18955,Poland,Slovenia,W,3,0,26,25,25,,,33,15,8,34,50,74
415,18956,Japan,France,L,1,3,23,25,23,23,,58,5,2,53,72,115
416,18956,France,Japan,W,3,1,25,18,25,25,,55,11,2,52,81,101
417,21437,Poland,Netherlands,W,3,1,25,22,25,25,,57,6,6,72,74,120
418,21437,Netherlands,Poland,L,1,3,22,25,22,22,,54,11,2,81,79,126
419,21438,China,Japan,L,0,3,23,14,22,,,38,5,1,38,63,79
420,21438,Japan,China,W,3,0,25,25,25,,,42,3,6,45,48,79
421,21439,Serbia,Türkiye,W,3,1,12,25,25,25,,54,10,1,69,79,113
422,21439,Türkiye,Serbia,L,1,3,25,22,23,23,,44,8,9,66,63,104
423,21440,Bulgaria,Italy,L,1,3,16,25,19,19,,43,6,6,64,77,109
424,21440,Italy,Bulgaria,W,3,1,25,22,25,25,,54,11,6,64,61,101
425,21441,Ukraine,USA,W,3,0,25,25,25,,,40,6,5,41,52,79
426,21441,USA,Ukraine,L,0,3,22,20,23,,,33,8,3,45,58,77
427,21442,Argentina,France,W,3,1,25,13,25,25,,41,8,2,57,62,101
428,21442,France,Argentina,L,1,3,22,25,22,19,,46,6,4,57,69,103
429,21443,Brazil,Iran,W,3,0,25,25,25,,,37,10,3,38,39,62
430,21443,Iran,Brazil,L,0,3,19,16,18,,,32,5,1,32,64,76
431,21444,Germany,Canada,L,2,3,25,19,25,23,11,58,8,3,65,90,123
432,21444,Canada,Germany,W,3,2,23,25,21,25,15,49,14,8,66,75,115
433,21445,Slovenia,Cuba,W,3,1,25,21,25,25,,51,12,5,63,66,99
434,21445,Cuba,Slovenia,L,1,3,22,25,18,15,,44,12,3,49,80,93
435,21446,China,Serbia,W,3,0,25,25,25,,,38,13,3,51,55,89
436,21446,Serbia,China,L,0,3,23,23,20,,,39,11,1,41,62,88
437,21447,Poland,Japan,W,3,1,27,25,18,39,,66,14,0,66,91,125
438,21447,Japan,Poland,L,1,3,25,22,25,37,,67,3,6,82,81,132
439,21448,Germany,Italy,L,2,3,25,25,19,23,11,58,7,7,75,83,130
440,21448,Italy,Germany,W,3,2,21,20,25,25,15,58,14,2,79,81,127
441,21449,Brazil,Cuba,L,2,3,25,24,25,25,13,60,10,7,69,85,122
442,21449,Cuba,Brazil,W,3,2,27,26,21,20,15,68,10,3,62,95,123
443,21450,Argentina,Canada,W,3,2,25,21,14,25,15,59,6,10,89,87,136
444,21450,Canada,Argentina,L,2,3,22,25,25,22,8,58,9,4,75,77,115
445,21451,USA,Iran,W,3,2,19,21,25,25,17,58,14,4,44,87,108
446,21451,Iran,USA,L,2,3,25,25,21,23,15,56,5,9,66,80,117
447,21452,Japan,Serbia,W,3,0,25,25,26,,,41,7,6,35,51,73
448,21452,Serbia,Japan,L,0,3,20,23,24,,,41,10,1,30,63,68
449,21453,Netherlands,Türkiye,W,3,1,21,25,25,25,,56,12,4,70,76,111
450,21453,Türkiye,Netherlands,L,1,3,25,23,22,23,,59,11,2,72,76,117
451,21454,Bulgaria,Argentina,W,3,0,25,25,28,,,40,6,5,46,47,73
452,21454,Argentina,Bulgaria,L,0,3,21,20,26,,,33,5,4,35,59,71
453,21455,Ukraine,Cuba,W,3,2,25,20,25,17,15,51,17,5,62,89,118
454,21455,Cuba,Ukraine,L,2,3,22,25,20,25,12,50,11,8,60,80,112
455,21456,France,Italy,W,3,1,25,25,19,26,,53,10,7,49,75,102
456,21456,Italy,France,L,1,3,18,22,25,24,,51,7,6,52,80,101
457,21457,Iran,Slovenia,L,2,3,25,23,18,25,12,48,12,9,69,77,114
458,21457,Slovenia,Iran,W,3,2,17,25,25,18,15,53,10,9,64,86,119
459,21458,China,Netherlands,W,3,1,25,25,13,25,,47,6,7,58,61,93
460,21458,Netherlands,China,L,1,3,19,20,25,17,,55,4,2,51,77,104
461,21459,Türkiye,Poland,L,0,3,26,23,21,,,41,5,2,42,63,77
462,21459,Poland,Türkiye,W,3,0,28,25,25,,,35,5,5,43,50,76
463,21460,Ukraine,Brazil,L,2,3,25,25,22,23,10,64,11,9,71,88,119
464,21460,Brazil,Ukraine,W,3,2,19,14,25,25,15,62,3,5,86,86,128
465,21461,USA,Slovenia,L,1,3,22,25,25,23,,54,13,3,87,84,133
466,21461,Slovenia,USA,W,3,1,25,27,20,25,,54,4,8,78,77,127
467,21462,Canada,France,L,2,3,22,27,29,25,,67,4,5,69,98,128
468,21462,France,Canada,W,3,2,25,29,27,21,5,72,8,2,76,83,124
469,21463,Bulgaria,Germany,W,3,2,25,22,25,23,15,61,14,3,74,77,110
470,21463,Germany,Bulgaria,L,2,3,22,25,19,25,12,53,5,7,74,79,112
471,21464,Netherlands,Japan,L,0,3,18,23,18,,,37,9,0,36,63,79
472,21464,Japan,Netherlands,W,3,0,25,25,25,,,42,6,3,42,47,76
473,21465,China,Türkiye,L,0,3,22,21,20,,,37,4,1,57,58,90
474,21465,Türkiye,China,W,3,0,25,25,25,,,39,9,6,51,50,82
475,21466,Poland,Serbia,W,3,0,25,25,25,,,43,8,3,43,52,80
476,21466,Serbia,Poland,L,0,3,21,20,23,,,37,3,4,46,61,83
477,21467,Brazil,Slovenia,W,3,0,25,29,25,,,49,7,5,45,54,87
478,21467,Slovenia,Brazil,L,0,3,19,27,19,,,45,3,1,39,67,81
479,21468,Argentina,Italy,L,1,3,23,25,35,21,,60,11,3,83,83,131
480,21468,Italy,Argentina,W,3,1,25,17,37,25,,57,13,2,66,82,121
481,21469,Ukraine,Iran,L,2,3,30,20,25,21,,62,14,6,50,99,129
482,21469,Iran,Ukraine,W,3,2,28,25,22,25,5,66,8,6,64,83,120
483,21470,Germany,France,W,3,1,23,25,29,29,,53,14,2,78,74,135
484,21470,France,Germany,L,1,3,25,19,27,27,,54,14,2,76,87,143
485,21471,Cuba,USA,L,1,3,22,18,25,23,,48,13,4,56,78,106
486,21471,USA,Cuba,W,3,1,25,25,18,25,,47,11,7,62,72,106
487,21472,Bulgaria,Canada,L,0,3,24,23,19,,,41,6,5,45,65,89
488,21472,Canada,Bulgaria,W,3,0,26,25,25,,,35,11,6,43,50,69
489,21473,Ukraine,France,L,0,3,23,21,17,,,36,7,2,50,63,80
490,21473,France,Ukraine,W,3,0,25,25,25,,,43,9,9,50,54,84
491,21474,Germany,Cuba,L,1,3,25,18,22,21,,49,10,2,61,79,114
492,21474,Cuba,Germany,W,3,1,19,25,25,25,,51,8,7,68,68,112
493,21475,Türkiye,Slovenia,L,0,3,16,22,18,,,32,6,2,59,60,92
494,21475,Slovenia,Türkiye,W,3,0,25,25,25,,,40,5,5,53,44,82
495,21476,Netherlands,Argentina,L,0,3,20,14,22,,,34,4,3,39,63,82
496,21476,Argentina,Netherlands,W,3,0,25,25,25,,,41,9,4,50,44,69
497,21477,Bulgaria,Japan,W,3,0,27,25,25,,,42,9,7,37,53,76
498,21477,Japan,Bulgaria,L,0,3,25,23,19,,,37,6,3,43,60,82
499,21478,Italy,Poland,W,3,2,25,23,21,25,15,63,17,9,79,87,142
500,21478,Poland,Italy,L,2,3,17,25,25,20,11,63,10,4,83,95,145
501,21479,Serbia,Iran,L,1,3,21,19,25,23,,47,15,4,32,80,92
502,21479,Iran,Serbia,W,3,1,25,25,23,25,,56,11,9,51,75,111
503,21480,Canada,Brazil,L,0,3,22,17,17,,,36,2,1,33,60,71
504,21480,Brazil,Canada,W,3,0,25,25,25,,,35,10,4,40,38,58
505,21481,China,USA,L,2,3,22,25,25,16,11,52,16,3,86,88,135
506,21481,USA,China,W,3,2,25,21,19,25,15,65,12,3,82,87,134
507,21482,France,Japan,L,2,3,22,25,25,20,11,67,11,2,74,89,123
508,21482,Japan,France,W,3,2,25,19,22,25,15,59,3,9,95,76,131
509,21483,Netherlands,Germany,L,1,3,26,22,21,24,,49,9,8,76,84,125
510,21483,Germany,Netherlands,W,3,1,24,25,25,26,,52,12,4,74,76,116
511,21484,Türkiye,Ukraine,L,0,3,11,22,21,,,36,6,0,47,64,80
512,21484,Ukraine,Türkiye,W,3,0,25,25,25,,,42,10,3,41,47,75
513,21485,Serbia,Cuba,L,1,3,25,22,16,16,,43,4,3,61,77,111
514,21485,Cuba,Serbia,W,3,1,22,25,25,25,,45,18,10,55,68,104
515,21486,Brazil,China,W,3,0,25,25,25,,,48,8,6,54,55,81
516,21486,China,Brazil,L,0,3,22,16,23,,,39,3,2,67,64,92
517,21487,Canada,USA,L,0,3,23,22,28,,,41,7,2,49,61,83
518,21487,USA,Canada,W,3,0,25,25,30,,,41,3,6,63,56,86
519,21488,Ukraine,Japan,W,3,2,24,25,25,22,15,58,12,8,73,77,114
520,21488,Japan,Ukraine,L,2,3,26,17,18,25,13,57,5,4,91,87,136
521,21489,Argentina,Iran,L,1,3,21,25,22,22,,50,9,4,49,77,100
522,21489,Iran,Argentina,W,3,1,25,22,25,25,,51,9,7,50,68,97
523,21490,Bulgaria,Slovenia,W,3,1,18,25,25,25,,41,11,7,49,70,98
524,21490,Slovenia,Bulgaria,L,1,3,25,23,21,22,,47,8,6,65,70,112
525,21491,Netherlands,Cuba,L,1,3,25,18,21,28,,57,6,2,62,81,120
526,21491,Cuba,Netherlands,W,3,1,21,25,25,30,,64,13,3,51,80,112
527,21492,China,Italy,L,0,3,18,15,19,,,32,3,0,51,64,81
528,21492,Italy,China,W,3,0,25,25,25,,,42,8,8,43,45,73
529,21493,Canada,Poland,L,2,3,32,25,17,23,13,57,8,11,88,91,131
530,21493,Poland,Canada,W,3,2,30,14,25,25,15,60,12,6,94,86,131
531,21494,Slovenia,France,L,0,3,23,27,23,,,37,7,3,63,61,93
532,21494,France,Slovenia,W,3,0,25,29,25,,,42,10,7,56,58,96
533,21495,Germany,Iran,W,3,1,25,23,26,25,,57,3,6,55,75,104
534,21495,Iran,Germany,L,1,3,22,25,24,22,,60,9,1,46,79,108
535,21496,Bulgaria,Türkiye,L,0,3,20,20,21,,,35,9,1,40,63,79
536,21496,Türkiye,Bulgaria,W,3,0,25,25,25,,,36,5,9,49,48,76
537,21497,Serbia,Argentina,L,1,3,25,18,23,12,,38,9,3,58,75,94
538,21497,Argentina,Serbia,W,3,1,18,25,25,25,,54,9,7,59,64,107
539,21498,Brazil,Italy,W,3,2,25,21,33,17,15,69,8,7,99,102,142
540,21498,Italy,Brazil,L,2,3,22,25,31,25,13,67,6,9,104,90,143
541,21499,USA,Poland,L,0,3,20,21,22,,,36,6,7,45,63,75
542,21499,Poland,USA,W,3,0,25,25,25,,,40,7,5,48,52,71
543,21500,Slovenia,Japan,L,0,3,25,15,16,,,33,7,3,55,64,94
544,21500,Japan,Slovenia,W,3,0,27,25,25,,,48,4,6,55,49,87
545,21501,Iran,Netherlands,W,3,2,25,22,21,25,15,62,7,4,77,74,116
546,21501,Netherlands,Iran,L,2,3,19,25,25,19,9,57,13,4,74,95,131
547,21502,Türkiye,France,L,0,3,20,18,19,,,26,6,2,38,59,84
548,21502,France,Türkiye,W,3,0,25,25,25,,,40,6,8,44,47,81
549,21503,Cuba,Argentina,L,2,3,25,23,21,25,11,59,8,7,58,85,117
550,21503,Argentina,Cuba,W,3,2,23,25,25,21,15,62,9,5,62,82,122
551,21504,Bulgaria,Ukraine,L,1,3,25,19,24,22,,50,10,5,51,79,111
552,21504,Ukraine,Bulgaria,W,3,1,20,25,26,25,,58,11,5,75,76,124
553,21505,China,Canada,L,0,3,23,20,23,,,34,4,5,37,63,77
554,21505,Canada,China,W,3,0,25,25,25,,,44,7,9,52,62,87
555,21506,Germany,Serbia,W,3,1,25,25,23,25,,61,7,6,55,70,98
556,21506,Serbia,Germany,L,1,3,20,21,25,17,,49,6,5,50,82,103
557,21507,Brazil,Poland,W,3,1,25,25,21,28,,65,8,3,92,77,135
558,21507,Poland,Brazil,L,1,3,21,21,25,26,,49,14,3,88,83,119
559,21508,USA,Italy,L,0,3,21,22,18,,,40,2,1,38,59,72
560,21508,Italy,USA,W,3,0,25,25,25,,,38,6,8,41,45,73
561,21509,USA,Japan,L,0,3,21,19,23,,,38,4,2,34,60,77
562,21509,Japan,USA,W,3,0,25,25,25,,,44,4,4,52,49,85
563,21510,Argentina,Brazil,L,1,3,21,23,26,18,,51,8,3,55,82,116
564,21510,Brazil,Argentina,W,3,1,25,25,24,25,,57,8,4,66,69,115
565,21511,Türkiye,USA,L,0,3,24,21,27,,,40,5,1,54,58,89
566,21511,USA,Türkiye,W,3,0,26,25,29,,,45,5,5,56,55,89
567,21512,Germany,Japan,L,1,3,25,20,23,20,,60,5,2,50,80,108
568,21512,Japan,Germany,W,3,1,21,25,25,25,,72,3,4,70,81,118
569,21513,China,France,L,1,3,25,22,23,17,,43,5,3,60,72,106
570,21513,France,China,W,3,1,22,25,25,25,,62,3,6,59,75,112
571,21514,Ukraine,Netherlands,W,3,2,25,20,20,26,15,60,6,5,65,87,116
572,21514,Netherlands,Ukraine,L,2,3,21,25,25,24,13,65,8,8,70,88,126
573,21515,Bulgaria,Cuba,L,2,3,25,16,25,25,13,53,11,6,60,85,117
574,21515,Cuba,Bulgaria,W,3,2,23,25,23,27,15,64,19,4,64,89,123
575,21516,Serbia,Italy,L,0,3,15,14,16,,,28,2,0,45,61,69
576,21516,Italy,Serbia,W,3,0,25,25,25,,,40,12,9,29,36,56
577,21517,Iran,Poland,L,2,3,19,25,18,25,,52,10,5,71,89,127
578,21517,Poland,Iran,W,3,2,25,23,25,21,5,61,7,12,76,76,125
579,21518,Canada,Slovenia,L,1,3,25,21,19,21,,44,10,4,83,75,122
580,21518,Slovenia,Canada,W,3,1,21,25,25,25,,51,6,6,75,65,110
581,21519,Türkiye,Germany,W,3,1,29,25,18,30,,62,8,8,52,87,111
582,21519,Germany,Türkiye,L,1,3,27,22,25,28,,66,7,5,69,86,107
583,21520,Argentina,Japan,L,2,3,25,25,21,23,13,59,16,1,58,93,123
584,21520,Japan,Argentina,W,3,2,23,23,25,25,15,65,6,3,80,78,126
585,21521,China,Iran,L,0,3,26,21,17,,,30,7,5,42,67,83
586,21521,Iran,China,W,3,0,28,25,25,,,40,8,7,42,51,75
587,21522,Ukraine,Italy,L,2,3,15,20,25,25,10,56,9,6,70,90,126
588,21522,Italy,Ukraine,W,3,2,25,25,16,23,15,50,11,5,76,76,116
589,21523,Cuba,Poland,W,3,1,22,25,25,26,,55,10,8,58,68,103
590,21523,Poland,Cuba,L,1,3,25,19,21,24,,43,6,4,50,72,92
591,21524,Netherlands,Slovenia,L,0,3,18,19,21,,,30,5,5,60,62,88
592,21524,Slovenia,Netherlands,W,3,0,25,25,25,,,41,4,3,61,43,75
593,21525,Argentina,USA,L,1,3,23,25,20,23,,59,8,3,78,82,126
594,21525,USA,Argentina,W,3,1,25,20,25,25,,55,6,6,72,72,117
595,21526,Brazil,Japan,W,3,0,25,25,28,,,40,11,1,45,53,83
596,21526,Japan,Brazil,L,0,3,21,23,26,,,42,4,3,46,65,96
597,21527,Cuba,France,L,2,3,25,15,25,21,,46,10,7,59,85,99
598,21527,France,Cuba,W,3,2,20,25,23,25,5,61,7,11,61,75,116
599,21528,Ukraine,Serbia,L,0,3,22,19,17,,,39,7,1,48,69,97
600,21528,Serbia,Ukraine,W,3,0,25,25,25,,,40,15,3,55,49,89
601,21529,China,Bulgaria,L,0,3,23,16,24,,,37,5,4,51,64,94
602,21529,Bulgaria,China,W,3,0,25,25,26,,,41,9,6,55,54,87
603,21530,Netherlands,Canada,L,0,3,22,20,15,,,35,1,0,54,57,79
604,21530,Canada,Netherlands,W,3,0,25,25,25,,,43,5,2,54,42,69
605,21531,Türkiye,Brazil,L,1,3,22,24,25,22,,48,8,8,68,78,118
606,21531,Brazil,Türkiye,W,3,1,25,26,22,25,,58,6,10,83,79,126
607,21532,Germany,USA,W,3,2,25,22,17,25,15,56,9,8,79,77,130
608,21532,USA,Germany,L,2,3,22,25,25,15,12,53,8,3,86,77,128
609,21533,Serbia,Canada,W,3,1,15,25,25,25,,53,4,4,62,67,104
610,21533,Canada,Serbia,L,1,3,25,22,18,22,,50,8,3,51,71,98
611,21534,Bulgaria,Poland,W,3,2,17,25,25,27,15,59,10,8,52,86,116
612,21534,Poland,Bulgaria,L,2,3,25,22,23,29,11,59,10,3,44,86,108
613,21535,Iran,France,L,0,3,24,16,24,,,37,4,4,41,60,78
614,21535,France,Iran,W,3,0,26,25,26,,,48,7,6,53,54,85
615,21536,Slovenia,Italy,L,0,3,22,20,23,,,34,4,3,66,57,90
616,21536,Italy,Slovenia,W,3,0,25,25,25,,,35,10,7,52,52,81
617,21537,Türkiye,Argentina,L,2,3,25,21,19,25,15,58,11,7,84,81,131
618,21537,Argentina,Türkiye,W,3,2,18,25,25,17,17,59,7,8,95,90,134
619,21538,Germany,Brazil,L,1,3,25,23,20,21,,55,6,1,69,77,113
620,21538,Brazil,Germany,W,3,1,21,25,25,25,,51,8,8,64,69,107
621,21539,Ukraine,Canada,L,1,3,21,27,29,21,,61,6,4,60,82,110
622,21539,Canada,Ukraine,W,3,1,25,25,31,25,,64,9,6,71,79,115
623,21540,China,Cuba,W,3,2,20,25,15,25,19,51,10,6,70,85,123
624,21540,Cuba,China,L,2,3,25,23,25,22,17,69,11,3,64,84,115
625,21541,Netherlands,Italy,L,0,3,13,22,19,,,29,6,2,40,59,76
626,21541,Italy,Netherlands,W,3,0,25,25,25,,,39,8,4,42,38,67
627,21542,Bulgaria,Iran,L,0,3,17,17,16,,,30,2,1,37,62,73
628,21542,Iran,Bulgaria,W,3,0,25,25,25,,,40,10,8,41,40,68
629,21543,France,Poland,L,2,3,30,25,20,25,12,64,5,11,61,92,122
630,21543,Poland,France,W,3,2,32,20,25,23,15,58,13,6,56,85,116
631,21544,Serbia,Slovenia,L,2,3,21,25,25,18,15,63,7,6,101,97,150
632,21544,Slovenia,Serbia,W,3,2,25,23,23,25,17,65,10,4,106,79,140
633,21545,Brazil,China,W,3,1,29,25,25,25,,54,8,6,66,70,112
634,21545,China,Brazil,L,1,3,31,19,16,21,,45,11,4,71,88,125
635,21546,Japan,Poland,L,0,3,23,24,12,,,36,3,4,48,62,93
636,21546,Poland,Japan,W,3,0,25,26,25,,,34,14,4,38,43,60
637,21547,Italy,Cuba,W,3,1,25,25,20,25,,42,9,7,65,64,100
638,21547,Cuba,Italy,L,1,3,18,19,25,21,,55,6,3,54,82,115
639,21548,France,Slovenia,L,1,3,22,25,19,18,,56,4,7,58,76,107
640,21548,Slovenia,France,W,3,1,25,15,25,25,,38,9,2,60,58,75
641,21549,Brazil,Poland,L,0,3,26,19,21,,,32,7,6,29,63,70
642,21549,Poland,Brazil,W,3,0,28,25,25,,,41,6,7,34,56,70
643,21550,Italy,Slovenia,W,3,1,25,22,25,25,,62,10,9,57,79,112
644,21550,Slovenia,Italy,L,1,3,22,25,21,18,,52,9,2,64,79,106
645,21551,Brazil,Slovenia,W,3,1,23,25,25,25,,48,11,5,60,68,110
646,21551,Slovenia,Brazil,L,1,3,25,20,23,19,,49,7,2,68,80,122
647,21552,Poland,Italy,W,3,0,25,25,25,,,37,10,3,55,43,80
648,21552,Italy,Poland,L,0,3,22,19,14,,,27,6,4,46,62,81
