,matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
68,16161,Germany,Iran,L,0,3,23,24,16,,,40,3,2,35,63,82
69,16162,USA,Serbia,W,3,1,22,25,25,25,,50,11,6,65,65,103
70,16162,Serbia,USA,L,1,3,25,19,19,21,,45,4,6,67,79,119
71,16163,Argentina,Slovenia,L,1,3,25,21,21,21,,54,3,2,59,76,110
72,16163,Slovenia,Argentina,W,3,1,21,25,25,25,,49,9,5,52,67,99
73,16164,Netherlands,China,W,3,0,25,25,25,,,35,13,2,35,53,74
74,16164,China,Netherlands,L,0,3,19,22,21,,,34,8,6,36,64,88
75,16165,Brazil,Bulgaria,W,3,0,25,25,25,,,39,7,6,37,40,63
76,16165,Bulgaria,Brazil,L,0,3,22,17,15,,,30,3,1,34,60,81
77,16166,Japan,Cuba,W,3,0,25,25,25,,,42,3,0,36,40,66
78,16166,Cuba,Japan,L,0,3,21,16,21,,,30,8,3,24,61,65
79,16167,Iran,Italy,L,0,3,19,16,24,,,36,2,1,55,60,82
80,16167,Italy,Iran,W,3,0,25,25,26,,,41,12,7,48,53,82
81,16168,USA,China,W,3,0,28,25,25,,,51,4,6,34,57,76
82,16168,China,USA,L,0,3,26,22,18,,,40,0,5,44,61,75
83,16169,Slovenia,Canada,W,3,0,25,25,25,,,48,6,7,51,53,76
84,16169,Canada,Slovenia,L,0,3,23,22,14,,,41,4,2,54,64,90
85,16170,Germany,Poland,L,2,3,21,25,14,25,10,49,12,2,53,82,107
86,16170,Poland,Germany,W,3,2,25,22,25,17,15,59,15,6,58,80,123
87,16171,Argentina,France,W,3,1,22,26,25,25,,51,7,4,50,70,106
88,16171,France,Argentina,L,1,3,25,24,21,20,,53,7,2,56,79,110
89,16172,Japan,Brazil,W,3,2,25,25,18,22,18,73,4,7,72,94,133
90,16172,Brazil,Japan,L,2,3,23,21,25,25,16,67,11,2,60,85,117
91,16173,China,Italy,L,0,3,13,19,24,,,35,3,1,30,64,78
92,16173,Italy,China,W,3,0,25,25,26,,,36,12,4,25,44,65
93,16174,Serbia,Germany,W,3,1,25,20,25,25,,51,12,4,60,73,103
94,16174,Germany,Serbia,L,1,3,21,25,23,23,,55,6,10,62,81,116
95,16175,Canada,Bulgaria,W,3,1,22,25,25,25,,52,7,9,55,71,103
96,16175,Bulgaria,Canada,L,1,3,25,23,22,20,,51,11,4,48,80,103
97,16176,Netherlands,Poland,L,2,3,25,18,25,22,11,55,7,7,34,80,98
98,16176,Poland,Netherlands,W,3,2,22,25,18,25,15,57,8,5,43,75,90
99,16177,Slovenia,Cuba,W,3,1,22,25,25,25,,50,10,5,45,57,85
100,16177,Cuba,Slovenia,L,1,3,25,15,16,19,,45,2,4,39,76,88
101,16178,Argentina,Bulgaria,W,3,0,25,25,25,,,42,7,7,57,47,78
102,16178,Bulgaria,Argentina,L,0,3,18,21,22,,,36,4,2,46,66,89
103,16179,Iran,USA,L,0,3,22,18,23,,,39,5,2,37,61,74
104,16179,USA,Iran,W,3,0,25,25,25,,,33,7,13,38,51,68
105,16180,Serbia,Italy,L,0,3,11,21,20,,,40,6,1,37,72,92
106,16180,Italy,Serbia,W,3,0,25,25,25,,,37,13,5,35,43,66
107,16181,France,Cuba,W,3,0,25,25,25,,,32,5,4,46,40,74
108,16181,Cuba,France,L,0,3,18,20,20,,,32,8,4,37,59,81
109,16182,Japan,Argentina,W,3,2,25,25,31,22,15,87,5,3,66,90,125
110,16182,Argentina,Japan,L,2,3,18,22,33,25,12,67,7,4,56,97,117
111,16183,Poland,USA,L,0,3,22,18,19,,,29,6,2,39,58,77
112,16183,USA,Poland,W,3,0,25,25,25,,,38,8,7,39,47,74
113,16184,Brazil,Slovenia,W,3,1,23,25,26,25,,66,6,4,59,76,123
114,16184,Slovenia,Brazil,L,1,3,25,21,24,21,,55,3,1,66,75,109
115,16185,Netherlands,Iran,W,3,2,16,25,21,25,15,52,17,11,43,85,112
116,16185,Iran,Netherlands,L,2,3,25,16,25,17,10,45,10,7,42,85,103
117,16186,Canada,France,L,0,3,17,21,21,,,38,0,4,42,60,74
118,16186,France,Canada,W,3,0,25,25,25,,,51,5,4,42,52,78
119,16187,China,Germany,W,3,1,23,25,25,25,,58,8,5,60,67,91
120,16187,Germany,China,L,1,3,25,18,19,21,,55,4,3,55,81,102
121,16188,Italy,Poland,L,1,3,19,26,25,20,,55,9,4,55,78,117
122,16188,Poland,Italy,W,3,1,25,28,18,25,,56,8,7,64,72,111
123,16189,Bulgaria,Cuba,L,2,3,25,19,20,25,16,54,13,3,47,84,103
124,16189,Cuba,Bulgaria,W,3,2,23,25,25,16,18,62,8,8,54,87,118
125,16190,Netherlands,Serbia,L,2,3,25,21,25,33,,58,11,14,45,99,124
126,16190,Serbia,Netherlands,W,3,2,22,25,21,35,5,70,12,6,52,99,123
127,16191,Brazil,France,W,3,1,25,26,19,25,,56,7,4,60,74,103
128,16191,France,Brazil,L,1,3,20,24,25,23,,53,6,5,55,78,108
129,16192,Brazil,Italy,L,1,3,25,20,15,21,,59,4,3,62,86,124
130,16192,Italy,Brazil,W,3,1,23,25,25,25,,50,7,13,56,65,97
131,16193,Japan,China,W,3,2,24,25,21,25,15,63,4,8,61,87,130
132,16193,China,Japan,L,2,3,26,23,25,23,12,54,17,5,49,87,109
133,16194,Argentina,Serbia,W,3,1,19,25,25,25,,47,16,5,52,65,100
134,16194,Serbia,Argentina,L,1,3,25,16,19,18,,46,5,5,62,78,115
135,16195,Iran,France,L,0,3,18,22,19,,,30,6,1,45,58,68
136,16195,France,Iran,W,3,0,25,25,25,,,39,6,6,46,44,77
137,16196,Canada,Netherlands,L,1,3,22,22,25,18,,47,6,5,44,71,93
138,16196,Netherlands,Canada,W,3,1,25,25,17,25,,62,7,6,45,77,111
139,16197,Poland,Slovenia,W,3,2,29,21,25,25,15,66,9,6,79,94,143
140,16197,Slovenia,Poland,L,2,3,31,25,20,20,13,64,9,5,83,92,150
141,16198,Germany,Bulgaria,W,3,0,25,25,25,,,43,3,4,39,48,78
142,16198,Bulgaria,Germany,L,0,3,22,18,22,,,45,3,1,39,65,82
143,16199,USA,Cuba,W,3,0,27,25,25,,,38,7,8,24,42,63
144,16199,Cuba,USA,L,0,3,25,17,15,,,30,4,2,29,55,66
145,16200,Brazil,Netherlands,W,3,0,25,25,25,,,34,11,3,47,41,73
146,16200,Netherlands,Brazil,L,0,3,21,15,20,,,33,6,1,43,64,92
147,16201,Canada,Italy,L,2,3,14,25,20,25,,56,9,6,70,92,134
148,16201,Italy,Canada,W,3,2,25,23,25,23,5,65,12,8,68,77,124
149,16202,China,Slovenia,L,1,3,21,20,26,23,,53,7,5,62,84,118
150,16202,Slovenia,China,W,3,1,25,25,24,25,,62,4,6,66,77,134
151,16203,Argentina,Germany,W,3,0,25,25,25,,,38,11,7,41,47,78
152,16203,Germany,Argentina,L,0,3,23,18,17,,,28,8,2,40,60,81
153,16204,Serbia,Cuba,W,3,2,19,25,25,22,15,45,14,7,45,79,105
154,16204,Cuba,Serbia,L,2,3,25,23,21,25,11,53,14,8,40,86,110
155,16205,Bulgaria,Iran,W,3,2,21,25,22,25,15,59,12,4,46,84,128
156,16205,Iran,Bulgaria,L,2,3,25,21,25,22,11,47,15,6,46,83,103
157,16206,Poland,Brazil,W,3,1,25,22,25,25,,53,7,3,41,69,95
158,16206,Brazil,Poland,L,1,3,23,25,21,21,,52,7,4,47,73,98
159,16207,Slovenia,Italy,L,0,3,13,22,17,,,31,6,1,50,65,94
160,16207,Italy,Slovenia,W,3,0,25,25,25,,,38,14,6,51,43,87
161,16208,Japan,Netherlands,W,3,1,25,26,23,25,,52,12,4,47,65,100
162,16208,Netherlands,Japan,L,1,3,19,24,25,17,,47,10,2,52,80,102
163,16209,Serbia,France,L,1,3,25,23,20,26,,48,10,2,50,74,106
164,16209,France,Serbia,W,3,1,20,25,25,28,,56,10,2,47,77,114
165,16210,Cuba,Germany,L,0,3,23,23,22,,,39,11,1,36,62,80
166,16210,Germany,Cuba,W,3,0,25,25,25,,,40,4,9,37,53,75
167,16211,USA,Argentina,L,2,3,18,25,25,41,12,72,7,6,60,106,150
168,16211,Argentina,USA,W,3,2,25,23,23,43,15,73,13,4,72,96,144
169,16212,Brazil,China,W,3,0,25,25,25,,,38,10,3,34,40,69
170,16212,China,Brazil,L,0,3,19,17,17,,,32,3,3,26,66,92
171,16213,Poland,Canada,W,3,0,25,25,27,,,41,11,3,46,57,80
172,16213,Canada,Poland,L,0,3,21,23,25,,,41,3,6,46,62,89
173,16214,Japan,Italy,L,1,3,27,26,25,20,,56,4,6,69,86,126
174,16214,Italy,Japan,W,3,1,29,28,23,25,,62,13,5,53,84,116
175,16215,Bulgaria,Serbia,L,0,3,19,22,22,,,39,8,3,39,64,89
176,16215,Serbia,Bulgaria,W,3,0,25,25,25,,,40,5,5,44,49,73
177,16216,Argentina,Iran,W,3,2,25,28,27,25,15,65,14,5,59,84,132
178,16216,Iran,Argentina,L,2,3,19,30,29,20,11,53,13,3,52,95,130
179,16217,USA,France,W,3,0,25,27,27,,,38,8,4,34,55,77
180,16217,France,USA,L,0,3,23,25,25,,,41,8,3,38,64,90
181,16218,China,Canada,L,1,3,25,21,17,18,,51,4,6,34,84,108
182,16218,Canada,China,W,3,1,23,25,25,25,,55,9,5,44,70,91
183,16219,Slovenia,Netherlands,W,3,0,25,32,25,,,40,10,4,41,54,78
184,16219,Netherlands,Slovenia,L,0,3,20,30,22,,,41,8,3,33,67,85
185,16220,Japan,Poland,L,0,3,17,19,18,,,38,1,2,42,63,84
186,16220,Poland,Japan,W,3,0,25,25,25,,,44,7,8,43,45,75
187,16221,Cuba,Iran,W,3,2,25,26,25,28,15,76,11,7,58,98,124
188,16221,Iran,Cuba,L,2,3,22,28,23,30,10,57,10,3,53,89,117
189,16222,France,Germany,W,3,1,21,25,25,25,,52,8,4,42,69,95
190,16222,Germany,France,L,1,3,25,20,22,21,,51,6,6,45,77,96
191,16223,USA,Bulgaria,W,3,0,29,25,25,,,44,10,4,45,53,91
192,16223,Bulgaria,USA,L,0,3,27,19,21,,,31,7,1,45,56,83
193,16224,USA,France,W,3,2,25,25,17,24,15,61,8,5,78,78,127
194,16224,France,USA,L,2,3,21,18,25,26,9,58,11,6,71,87,133
195,16225,Italy,Argentina,W,3,0,25,25,25,,,44,9,5,50,37,73
196,16225,Argentina,Italy,L,0,3,17,13,14,,,26,4,2,32,65,81
197,16226,Japan,Slovenia,W,3,0,26,25,25,,,54,6,2,56,56,107
198,16226,Slovenia,Japan,L,0,3,24,18,22,,,41,5,0,56,63,99
199,16227,Poland,Brazil,W,3,0,26,25,25,,,37,10,9,44,53,79
200,16227,Brazil,Poland,L,0,3,24,21,20,,,35,5,5,39,63,84
201,16228,Japan,Poland,L,1,3,25,26,17,21,,55,4,8,54,80,107
202,16228,Poland,Japan,W,3,1,19,28,25,25,,61,9,4,57,74,95
203,16229,USA,Italy,W,3,0,25,25,25,,,44,10,3,59,44,86
204,16229,Italy,USA,L,0,3,19,18,19,,,33,6,4,42,65,92
205,16230,Japan,Italy,W,3,2,25,25,17,17,15,54,4,9,77,82,134
206,16230,Italy,Japan,L,2,3,18,23,25,25,9,53,13,7,53,86,119
207,16231,Poland,USA,W,3,1,25,24,25,25,,59,9,7,48,73,106
208,16231,USA,Poland,L,1,3,23,26,18,18,,51,8,3,58,84,106
