MATCHID,TEAMA,TEAMB,RESULTA,RESULTB,SET1A,SET1B,SET2A,SET2B,SET3A,SET3B,SET4A,SET4B,SET5A,SET5B,ATTACKSA,ATTACKSB,BLOCKSA,BLOCKSB,SERVESA,SERVESB,DIGSA,DIGSB,RECSA,RECSB,SETSA,SETSB
21489,Argentina,Iran,L,W,21,25,25,22,22,25,22,25,,,50,51,9,9,4,7,49,50,77,68,100,97
21490,Bulgaria,Slovenia,W,L,18,25,25,23,25,21,25,22,,,41,47,11,8,7,6,49,65,70,70,98,112
21491,Netherlands,Cuba,L,W,25,21,18,25,21,25,28,30,,,57,64,6,13,2,3,62,51,81,80,120,112
21492,China,Italy,L,W,18,25,15,25,19,25,,,,,32,42,3,8,0,8,51,43,64,45,81,73
21493,Canada,Poland,L,W,32,30,25,14,17,25,23,25,13,15,57,60,8,12,11,6,88,94,91,86,131,131
21494,Slovenia,France,L,W,23,25,27,29,23,25,,,,,37,42,7,10,3,7,63,56,61,58,93,96
21495,Germany,Iran,W,L,25,22,23,25,26,24,25,22,,,57,60,3,9,6,1,55,46,75,79,104,108
21496,Bulgaria,Türkiye,L,W,20,25,20,25,21,25,,,,,35,36,9,5,1,9,40,49,63,48,79,76
21497,Serbia,Argentina,L,W,25,18,18,25,23,25,12,25,,,38,54,9,9,3,7,58,59,75,64,94,107
21498,Brazil,Italy,W,L,25,22,21,25,33,31,17,25,15,13,69,67,8,6,7,9,99,104,102,90,142,143
21499,USA,Poland,L,W,20,25,21,25,22,25,,,,,36,40,6,7,7,5,45,48,63,52,75,71
21500,Slovenia,Japan,L,W,25,27,15,25,16,25,,,,,33,48,7,4,3,6,55,55,64,49,94,87
21501,Iran,Netherlands,W,L,25,19,22,25,21,25,25,19,15,9,62,57,7,13,4,4,77,74,74,95,116,131
21502,Türkiye,France,L,W,20,25,18,25,19,25,,,,,26,40,6,6,2,8,38,44,59,47,84,81
21503,Cuba,Argentina,L,W,25,23,23,25,21,25,25,21,11,15,59,62,8,9,7,5,58,62,85,82,117,122
21504,Bulgaria,Ukraine,L,W,25,20,19,25,24,26,22,25,,,50,58,10,11,5,5,51,75,79,76,111,124
21505,China,Canada,L,W,23,25,20,25,23,25,,,,,34,44,4,7,5,9,37,52,63,62,77,87
