matchid,team,opponent,result,sets won,sets lost,set1,set2,set3,set4,set5,attacks,blocks,serves,digs,receives,sets
21477,Bulgaria,Japan,W,3,0,27,25,25,,,42,9,7,37,53,76
21477,Japan,Bulgaria,L,0,3,25,23,19,,,37,6,3,43,60,82
21478,Italy,Poland,W,3,2,25,23,21,25,15,63,17,9,79,87,142
21478,Poland,Italy,L,2,3,17,25,25,20,11,63,10,4,83,95,145
21479,Serbia,Iran,L,1,3,21,19,25,23,,47,15,4,32,80,92
21479,Iran,Serbia,W,3,1,25,25,23,25,,56,11,9,51,75,111
21480,Canada,Brazil,L,0,3,22,17,17,,,36,2,1,33,60,71
21480,Brazil,Canada,W,3,0,25,25,25,,,35,10,4,40,38,58
21481,China,USA,L,2,3,22,25,25,16,11,52,16,3,86,88,135
21481,USA,China,W,3,2,25,21,19,25,15,65,12,3,82,87,134
21482,France,Japan,L,2,3,22,25,25,20,11,67,11,2,74,89,123
21482,Japan,France,W,3,2,25,19,22,25,15,59,3,9,95,76,131
21483,Netherlands,Germany,L,1,3,26,22,21,24,,49,9,8,76,84,125
21483,Germany,Netherlands,W,3,1,24,25,25,26,,52,12,4,74,76,116
21484,Türkiye,Ukraine,L,0,3,11,22,21,,,36,6,0,47,64,80
21484,Ukraine,Türkiye,W,3,0,25,25,25,,,42,10,3,41,47,75
21485,Serbia,Cuba,L,1,3,25,22,16,16,,43,4,3,61,77,111
21485,Cuba,Serbia,W,3,1,22,25,25,25,,45,18,10,55,68,104
21486,Brazil,China,W,3,0,25,25,25,,,48,8,6,54,55,81
21486,China,Brazil,L,0,3,22,16,23,,,39,3,2,67,64,92
21487,Canada,USA,L,0,3,23,22,28,,,41,7,2,49,61,83
21487,USA,Canada,W,3,0,25,25,30,,,41,3,6,63,56,86
21488,Ukraine,Japan,W,3,2,24,25,25,22,15,58,12,8,73,77,114
21488,Japan,Ukraine,L,2,3,26,17,18,25,13,57,5,4,91,87,136
21489,Argentina,Iran,L,1,3,21,25,22,22,,50,9,4,49,77,100
21489,Iran,Argentina,W,3,1,25,22,25,25,,51,9,7,50,68,97
21490,Bulgaria,Slovenia,W,3,1,18,25,25,25,,41,11,7,49,70,98
21490,Slovenia,Bulgaria,L,1,3,25,23,21,22,,47,8,6,65,70,112
21491,Netherlands,Cuba,L,1,3,25,18,21,28,,57,6,2,62,81,120
21491,Cuba,Netherlands,W,3,1,21,25,25,30,,64,13,3,51,80,112
21492,China,Italy,L,0,3,18,15,19,,,32,3,0,51,64,81
21492,Italy,China,W,3,0,25,25,25,,,42,8,8,43,45,73
21493,Canada,Poland,L,2,3,32,25,17,23,13,57,8,11,88,91,131
21493,Poland,Canada,W,3,2,30,14,25,25,15,60,12,6,94,86,131
21494,Slovenia,France,L,0,3,23,27,23,,,37,7,3,63,61,93
21494,France,Slovenia,W,3,0,25,29,25,,,42,10,7,56,58,96
21495,Germany,Iran,W,3,1,25,23,26,25,,57,3,6,55,75,104
21495,Iran,Germany,L,1,3,22,25,24,22,,60,9,1,46,79,108
21496,Bulgaria,Türkiye,L,0,3,20,20,21,,,35,9,1,40,63,79
21496,Türkiye,Bulgaria,W,3,0,25,25,25,,,36,5,9,49,48,76
21497,Serbia,Argentina,L,1,3,25,18,23,12,,38,9,3,58,75,94
21497,Argentina,Serbia,W,3,1,18,25,25,25,,54,9,7,59,64,107
21498,Brazil,Italy,W,3,2,25,21,33,17,15,69,8,7,99,102,142
21498,Italy,Brazil,L,2,3,22,25,31,25,13,67,6,9,104,90,143
21499,USA,Poland,L,0,3,20,21,22,,,36,6,7,45,63,75
21499,Poland,USA,W,3,0,25,25,25,,,40,7,5,48,52,71
21500,Slovenia,Japan,L,0,3,25,15,16,,,33,7,3,55,64,94
21500,Japan,Slovenia,W,3,0,27,25,25,,,48,4,6,55,49,87
21501,Iran,Netherlands,W,3,2,25,22,21,25,15,62,7,4,77,74,116
21501,Netherlands,Iran,L,2,3,19,25,25,19,9,57,13,4,74,95,131
21502,Türkiye,France,L,0,3,20,18,19,,,26,6,2,38,59,84
21502,France,Türkiye,W,3,0,25,25,25,,,40,6,8,44,47,81
21503,Cuba,Argentina,L,2,3,25,23,21,25,11,59,8,7,58,85,117
21503,Argentina,Cuba,W,3,2,23,25,25,21,15,62,9,5,62,82,122
21504,Bulgaria,Ukraine,L,1,3,25,19,24,22,,50,10,5,51,79,111
21504,Ukraine,Bulgaria,W,3,1,20,25,26,25,,58,11,5,75,76,124
21505,China,Canada,L,0,3,23,20,23,,,34,4,5,37,63,77
21505,Canada,China,W,3,0,25,25,25,,,44,7,9,52,62,87
21506,Germany,Serbia,W,3,1,25,25,23,25,,61,7,6,55,70,98
21506,Serbia,Germany,L,1,3,20,21,25,17,,49,6,5,50,82,103
21507,Brazil,Poland,W,3,1,25,25,21,28,,65,8,3,92,77,135
21507,Poland,Brazil,L,1,3,21,21,25,26,,49,14,3,88,83,119
21508,USA,Italy,L,0,3,21,22,18,,,40,2,1,38,59,72
21508,Italy,USA,W,3,0,25,25,25,,,38,6,8,41,45,73
